FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
8.669403,3.236271,0.274061,0.392785,16.571583,11.518698,5.927992,1.473858,1.521411,2.041185,0.464275,0.629854,0.286698,0.944501,0.120872,0.000000,0.937989,0.510045,0.000000,0.000000,1.219364,1.061403,0.772908,0.168456,0.182247,0.309882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,162.000000,,1
9.673676,3.396599,0.034877,0.764928,12.396900,22.025917,4.799566,1.009623,1.230920,1.109701,0.840371,0.750055,0.429239,1.114392,0.100577,0.000000,0.985592,0.531044,0.000000,0.000000,1.093313,1.342934,0.681202,0.004159,0.090230,0.045206,0.000000,0.000000,0.000000,0.047038,0.000000,0.000000,466.000000,,1
1.711825,3.681121,0.236829,0.575353,11.626601,30.851915,4.751553,0.989998,0.730790,1.737658,0.443633,0.584117,0.494760,1.737758,0.039475,0.000000,0.233459,0.565980,0.000000,0.000000,1.065453,1.489282,0.676836,0.000000,0.000000,0.239964,0.000000,0.000000,0.000000,0.239989,0.000000,0.000000,519.000000,,0
9.168156,3.681640,0.082809,0.462259,17.257753,12.479829,4.036714,1.703260,0.703679,0.832265,1.072848,0.344034,1.746063,3.544091,0.104521,9998.000000,0.962282,0.566041,0.000000,0.000000,1.236984,1.096209,0.606028,0.231281,0.000000,0.000000,0.030538,0.000000,0.242060,0.549505,0.000000,3.999913,696.000000,,1
11.508516,4.656067,0.276397,0.070711,10.513906,14.343897,4.165380,0.892676,0.766765,0.548761,0.572478,0.953225,0.190094,1.513406,0.017058,0.000000,1.061019,0.668019,0.000000,0.000000,1.021764,1.156667,0.619655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.179955,0.000000,0.000000,876.000000,,1
11.573099,2.418279,0.263201,1.144138,13.130824,10.136034,3.550738,1.175700,1.421872,2.014973,0.851091,0.476832,0.734384,1.491086,0.067170,0.000000,1.063450,0.383506,0.000000,0.058478,1.118292,1.005868,0.550319,0.070297,0.152861,0.304269,0.000000,0.000000,0.000000,0.173503,0.000000,0.000000,1208.000000,,1
1.335649,3.700326,0.103751,0.071530,5.899544,4.395860,0.911441,0.522888,1.740073,1.600208,0.033240,0.384840,0.376116,0.815795,0.100132,0.000000,0.125692,0.568240,0.000000,0.000000,0.770818,0.643044,0.000000,0.000000,0.240568,0.204176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1626.000000,,0
17.564455,3.665330,0.145216,0.506398,16.536905,15.523130,5.128706,1.250105,1.923260,2.724003,0.258490,1.129065,1.247011,1.490408,0.010201,0.000000,1.244635,0.564113,0.000000,0.000000,1.218454,1.190979,0.710008,0.096947,0.284038,0.435208,0.000000,0.052719,0.095870,0.173305,0.000000,0.000000,1855.000000,,1
9.176121,30.183571,0.341099,0.528039,11.657705,5.079956,4.083369,1.042463,1.244076,1.641573,0.577030,0.425506,0.767942,1.790901,0.056548,0.000000,0.962659,1.479771,0.000000,0.000000,1.066613,0.705860,0.611019,0.018061,0.094847,0.215260,0.000000,0.000000,0.000000,0.253072,0.000000,0.000000,2116.000000,,1
17.792721,3.117886,0.069194,0.642611,5.060112,21.721830,2.769779,0.229143,0.779941,2.866364,0.529217,0.821944,0.825258,0.646004,0.088892,0.000000,1.250242,0.493860,0.000000,0.000000,0.704160,1.336896,0.442445,0.000000,0.000000,0.457331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2143.000000,,1
