FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
12.544671,26.465019,0.153920,0.337146,8.591505,15.498316,3.639517,0.791480,1.997086,0.614202,0.372822,0.494800,0.114072,0.640674,0.060442,0.000000,1.098459,1.422672,0.000000,0.000000,0.934069,1.190284,0.561044,0.000000,0.300397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,,1
3.140126,5.799446,0.233196,0.835140,12.845104,14.296702,4.565352,1.134176,1.548482,1.619573,0.163003,0.311034,0.360484,2.027011,0.006774,9998.000000,0.496947,0.763386,0.000000,0.000000,1.108738,1.155236,0.659474,0.054680,0.189906,0.209400,0.000000,0.000000,0.000000,0.306856,0.000000,3.999913,357.000000,,1
9.004194,3.360245,0.150925,0.145316,2.880059,0.000000,0.393883,0.009762,1.099259,1.268751,0.704338,1.028189,0.955262,1.933342,0.034071,0.000000,0.954445,0.526371,0.000000,0.000000,0.459401,0.000000,0.000000,0.000000,0.041100,0.103376,0.000000,0.012073,0.000000,0.286309,0.000000,0.000000,402.000000,,1
15.356114,1.740632,0.191971,0.453016,27.892002,16.264900,7.713623,2.454274,1.491765,1.834122,0.089896,0.620830,0.184325,1.808130,0.164374,4486.108887,1.186281,0.240707,0.000000,0.000000,1.445480,1.211251,0.887258,0.389923,0.173700,0.263428,0.000000,0.000000,0.000000,0.257230,0.000000,3.651870,724.000000,,0
7.017390,1.713162,0.099180,1.235851,41.141628,45.886696,18.352821,3.503305,1.651295,1.848576,0.790122,0.679923,0.675211,1.993153,0.184159,9998.000000,0.846176,0.233799,0.000000,0.091966,1.614282,1.661687,1.263703,0.544478,0.217825,0.266837,0.000000,0.000000,0.000000,0.299541,0.000000,3.999913,916.000000,,0
2.671019,3.208202,0.216326,0.576970,22.812784,20.478434,8.872713,2.097543,1.617656,1.249786,0.898106,1.035096,1.111278,1.264080,0.129638,0.000000,0.426677,0.506262,0.000000,0.000000,1.358178,1.311297,0.948056,0.321711,0.208886,0.096836,0.000000,0.014981,0.045823,0.101774,0.000000,0.000000,995.000000,,1
2.630553,3.652773,0.326546,0.726757,48.012905,30.841274,22.860678,4.239165,1.999821,0.530195,0.529676,0.427043,0.695814,0.461700,0.163095,0.000000,0.420047,0.562623,0.000000,0.000000,1.681358,1.489132,1.359089,0.627280,0.300991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1306.000000,,1
5.514804,8.590966,0.247550,0.483680,42.676697,42.289421,19.713943,3.751513,0.671817,4.473180,0.932263,1.014094,0.529157,1.578328,0.077648,0.000000,0.741530,0.934042,0.000000,0.000000,1.630191,1.626232,1.294773,0.574206,0.000000,0.650616,0.000000,0.006078,0.000000,0.198197,0.000000,0.000000,1374.000000,,1
14.196245,37.293953,0.319099,0.841828,14.655530,21.454517,6.199778,1.177837,2.308100,1.674972,0.571760,0.419776,0.461380,1.856082,0.099684,0.000000,1.152174,1.571638,0.000000,0.000000,1.166002,1.331519,0.792376,0.071085,0.363255,0.224008,0.000000,0.000000,0.000000,0.268597,0.000000,0.000000,1776.000000,,1
17.714304,2.039768,0.122637,1.111697,21.647844,33.037659,11.979719,1.894612,1.314767,1.843325,0.509832,0.971831,0.778663,0.686311,0.124226,9998.000000,1.248324,0.309581,0.000000,0.045986,1.335415,1.519009,1.078447,0.277520,0.118849,0.265602,0.000000,0.000000,0.000000,0.000000,0.000000,3.999913,1808.000000,,0
