FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
3.411412,1.245853,0.303488,0.851970,10.280292,11.919449,6.109601,1.041365,1.499252,1.077499,0.672696,0.766146,0.292947,0.921164,0.143504,0.000000,0.532934,0.095467,0.000000,0.000000,1.012005,1.076256,0.786013,0.017603,0.175875,0.032417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.000000,,0
1.644328,2.848077,0.279970,0.463417,11.759720,3.220539,1.220339,1.113494,1.049889,1.497834,0.624883,0.513206,0.832365,0.235112,0.171009,2688.897217,0.215988,0.454552,0.000000,0.000000,1.070397,0.507929,0.086481,0.046688,0.021144,0.175464,0.000000,0.000000,0.000000,0.000000,0.000000,3.429574,281.000000,,0
14.551799,33.634331,0.342038,0.405083,11.341560,15.995431,3.094908,1.103212,0.741551,2.641673,0.726558,1.056318,0.498533,2.228385,0.122174,0.000000,1.162917,1.526783,0.000000,0.000000,1.054673,1.203996,0.490648,0.042659,0.000000,0.421879,0.000000,0.023795,0.000000,0.347990,0.000000,0.000000,330.000000,,1
4.869818,19.664694,0.257092,0.190034,26.420540,26.258375,9.406082,2.210377,1.706095,1.573496,0.884870,0.390529,0.869039,1.827973,0.061302,0.000000,0.687513,1.293687,0.000000,0.000000,1.421942,1.419268,0.973409,0.344466,0.232003,0.196866,0.000000,0.000000,0.000000,0.261970,0.000000,0.000000,714.000000,,1
2.809727,21.132084,0.175720,0.543770,13.724105,23.401274,4.815516,1.309956,1.551936,1.897966,0.431814,0.928710,0.624124,0.634046,0.121976,858.532043,0.448664,1.324942,0.000000,0.000000,1.137484,1.369239,0.682643,0.117257,0.190874,0.278288,0.000000,0.000000,0.000000,0.000000,0.000000,2.933757,1083.000000,,1
20.938496,65.110008,0.303987,0.889741,19.216629,26.899569,7.068497,1.522769,2.075882,1.841728,0.823062,1.139327,0.975105,4.464116,0.008003,0.000000,1.320946,1.813648,0.000000,0.000000,1.283677,1.429745,0.849327,0.182634,0.317203,0.265226,0.000000,0.056648,0.000000,0.649736,0.000000,0.000000,1131.000000,,1
14.874930,23.079958,0.320457,0.451159,24.006033,22.139669,9.219263,2.295463,2.046616,1.818171,0.065002,0.135773,0.608333,1.189455,0.096142,9998.000000,1.172455,1.363235,0.000000,0.000000,1.380320,1.345171,0.964696,0.360870,0.311036,0.259635,0.000000,0.000000,0.000000,0.075348,0.000000,3.999913,1252.000000,,1
11.704000,9.278395,0.100477,0.457408,30.683083,27.859800,12.000621,2.643949,2.385878,3.523188,0.910842,0.457208,1.085405,1.822124,0.154578,9998.000000,1.068334,0.967473,0.000000,0.000000,1.486899,1.444978,1.079204,0.422253,0.377648,0.546936,0.000000,0.000000,0.035592,0.260578,0.000000,3.999913,1372.000000,,1
11.896011,3.098561,0.311533,0.504941,9.992276,26.583862,2.079096,0.987723,1.200176,1.896489,0.768062,0.684914,1.071889,3.464835,0.076537,0.000000,1.075401,0.491160,0.000000,0.000000,0.999664,1.424618,0.317875,0.000000,0.079245,0.277950,0.000000,0.000000,0.030150,0.539683,0.000000,0.000000,1912.000000,,1
3.625881,13.946759,0.088599,0.585514,16.019407,25.102518,7.371884,1.422072,2.824021,2.722545,0.381326,0.280689,0.545088,0.324509,0.002147,0.000000,0.559414,1.144473,0.000000,0.000000,1.204646,1.399717,0.867579,0.152922,0.450868,0.434975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2046.000000,,1
