position,TECAN,sample,REP,conc_ara,tmp,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma
A1,40,WT&CDS,1,0.0,10,0.00025,0.000383194191463672,0.0202141470075085,-52.2769394171389,34.2902018226383,0.00701733782141737,0.00532499999999996,0.000242592017145357
A2,40,WT&CDS,2,0.0,10,1170.39043852573,0.000268699562394698,0.0643061797224685,237.722240500143,10.7788580125801,0.0109422118177893,0.00780000000000006,0.000322413302223873
A3,40,WT&CDS,1,0.005,10,1.30877791208547,0.000467963709905961,0.964563389985017,8.22740742489298,0.718612366752498,15.4072397708104,10.40802125,0.033192382016844
A4,40,WT&CDS,2,0.005,10,1.28076654172914,0.000542353630983906,0.959222522563906,8.0967943729874,0.722613537792286,15.244676661261,10.35456125,0.0323296429496305
A5,40,WT&EMPTY,1,0.0002,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6,40,WT&EMPTY,2,0.0002,10,105.260942812836,0.000484635746588494,0.0269313972890943,456.290874475504,25.7375127298216,0.012842322213702,0.00990875000000004,0.000379547510662928
A7,40,WT&CDS,1,0.0,0,1.31640821307496,0.0052391595635284,0.947132352412735,5.83077255739328,0.731837719189103,18.6469468030974,13.5944575,0.0420249725275403
A8,40,WT&CDS,2,0.0,0,1.29853065214741,0.00398055144465812,0.956637645798924,6.04669716162327,0.724566071180559,18.1146262281155,13.130875,0.0413461611774452
A9,40,WT&CDS,1,0.005,0,1.28206084752793,0.00612743634047136,0.973368222128754,5.48472480236043,0.7121119888669,18.6031568079281,13.68758875,0.0397976512291533
A10,40,WT&CDS,2,0.005,0,1.29171842919845,0.00311529752550473,0.998068960951993,6.03664640543651,0.694488264517111,18.0335972233772,13.083535,0.0384915951800669
A11,40,WT&EMPTY,1,0.0002,0,1.26881587468578,0.00549253934418098,0.951843450238211,5.71324035011426,0.728215527864878,18.1214861484535,13.2507875,0.0413127746683877
A12,40,WT&EMPTY,2,0.0002,0,1.23162384917803,0.00404068124935628,1.0130151233619,5.64294567338764,0.684241690548105,17.678495775307,12.9657,0.0396252356054298
B1,40,WT&CDS,1,5e-05,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,40,WT&CDS,2,5e-05,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3,40,WT&CDS,1,0.01,10,1.29572564718795,0.000931736066016056,0.905355140204746,7.99334116909569,0.765608046808228,15.5563334886844,10.59184875,0.0369641396204518
B4,40,WT&CDS,2,0.01,10,1.30911349812619,0.000983443517394234,0.883766529389734,8.13908288105988,0.784310287286602,15.5262150138307,10.49950375,0.039946984583087
B5,40,WT&EMPTY,1,0.0005,10,0.0115194089403338,1.04972453153378e-07,0.853306613838183,13.6010159055622,0.812307287110036,0.0737696747526236,0.04107875,0.00101425544277423
B6,40,WT&EMPTY,2,0.0005,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B7,40,WT&CDS,1,5e-05,0,1.32763414666901,0.00647949830093037,0.935866020998431,5.68202943888489,0.740647875879135,19.0020882958238,13.9003025,0.044206922798407
B8,40,WT&CDS,2,5e-05,0,1.30857557426843,0.00584853706295281,0.958518323431421,5.63997930954351,0.723144423654347,18.7850584389459,13.76267,0.041154991559152
B9,40,WT&CDS,1,0.01,0,1.30458407577568,0.00471728664164481,0.945316313510365,5.94381289919341,0.733243646230956,18.3324809864546,13.32109875,0.0421346156528278
